title,link,category,description,telephone,address,roadAddress,mapx,mapy
코믹스팩토리,http://comitory.blog.me/,오락시설>만화방,,02-461-4614,서울특별시 광진구 화양동 5-5,서울특별시 광진구 능동로 123 지하 1층,318134,549288
카페데코믹스 건대점,http://www.cafedecomics.com/,오락시설>만화방,,02-465-1222,서울특별시 광진구 화양동 3-22 지층,서울특별시 광진구 능동로 141,318193,549439
놀숲 건대점,http://www.nolsoop.co.kr/,"스포츠,오락>만화방",,02-2205-3927,서울특별시 광진구 자양동 7-25,서울특별시 광진구 아차산로 224 3층 놀숲건대점,317843,549120
놀숲 어린이대공원점,,"스포츠,오락>만화방",,02-466-0708,서울특별시 광진구 화양동 2-22,서울특별시 광진구 능동로 153-1,318243,549557
만화카페 휴,,오락시설>만화방,,02-477-9265,서울특별시 광진구 화양동 45-65 지하1층,서울특별시 광진구 아차산로25길 17,317728,549305
만화박사,,오락시설>만화방,"만화, 코믹스, 순정, 판타지소설, 신무협소설, 퓨전판타지, 수면시설 완비.",02-498-8678,서울특별시 광진구 화양동 94-7,서울특별시 광진구 능동로 167,318290,549686
만화사랑,http://blog.naver.com/manwhasarang,오락시설>만화방,,02-497-0237,서울특별시 광진구 자양동 553-303,서울특별시 광진구 뚝섬로23길 48 지하,317661,548746
만화카페사랑애,http://jaeweon9.blog.me/,오락시설>만화방,,,서울특별시 광진구 중곡2동 124-22 3층,서울특별시 광진구 용마산로 53,319590,551084
만화의 성,,오락시설>만화방,,,서울특별시 광진구 구의동 242-58 지하1층,서울특별시 광진구 자양로18길 79 지하1층,319588,548881
얼짱만화방,,오락시설>만화방,"서울특별시 성동구 성수동 위치, <b>만화방</b>, 노래방.",02-499-3488,서울특별시 성동구 성수2가3동 289-13 성수동복합시설 2층,서울특별시 성동구 성수일로8길 53 성수동복합시설 2층,316820,549657
보드스토리 건대점,http://blog.naver.com/kunimihiro78,"카페,디저트>보드카페","서울특별시 광진구 화양동 위치, <b>보드</b>카페.",02-465-7770,서울특별시 광진구 화양동 7-9,서울특별시 광진구 동일로22길 104 진명빌딩,317995,549137
라임,http://www.facebook.com/lime.boardgame,"카페,디저트>보드카페",,,서울특별시 광진구 화양동 5-106 3층,서울특별시 광진구 능동로 111,318094,549173
고양이다락방 건대점,http://www.godabang.com/,"카페,디저트>테마카페","서울특별시 광진구 자양4동 소재, <b>고양이</b> 전용 <b>카페</b>.",02-2205-3123,서울특별시 광진구 자양4동 1-3 3층,서울특별시 광진구 아차산로34길 5-3,318001,549039
카페데코믹스 건대점,http://www.cafedecomics.com/,오락시설>만화방,,02-465-1222,서울특별시 광진구 화양동 3-22 지층,서울특별시 광진구 능동로 141,318193,549439
플레이독스,,"카페,디저트>애견카페",,02-497-5789,서울특별시 광진구 화양동 94-61,서울특별시 광진구 능동로 163,318276,549634
샹그리라,,"카페,디저트>고양이카페",,02-466-9998,서울특별시 광진구 화양동 90-4,서울특별시 광진구 능동로 161 3층,318267,549622
수VR멀티방,http://blog.naver.com/kimsw0917,"스포츠,오락>멀티방","노래, 영화, Wii게임,TV, 인터넷, 셀프바 전문.",02-464-9966,서울특별시 광진구 화양동 8-102 삼거리포차 3층,서울특별시 광진구 동일로22길 107,318010,549154
스마일멀티카페 건대입구점,,"스포츠,오락>멀티방","광진구 화양동 위치, <b>멀티방</b>.",,서울특별시 광진구 화양동 7-12 4층,서울특별시 광진구 아차산로 235,317975,549137
2구역멀티방,,"스포츠,오락>멀티방","서울특별시 광진구 화양동 위치, <b>멀티방</b>.",,서울특별시 광진구 화양동 5-48,서울특별시 광진구 동일로22길 111,318035,549142
엠플레이 건대점,,"스포츠,오락>멀티방","서울특별시 광진구 화양동 소재, <b>멀티방</b>.",02-462-5836,서울특별시 광진구 화양동 9-90,서울특별시 광진구 아차산로29길 12 서강약국,317878,549216
M+2구역멀티방노래방,,"스포츠,오락>노래방",,,서울특별시 광진구 화양동 5-49 3층,,318028,549144
화이트캐슬,,"카페,디저트>테마카페","서울특별시 광진구 화양동 소재, 포토카페.",,서울특별시 광진구 화양동 9-91,서울특별시 광진구 동일로22길 81 캠퍼스 프라자,317908,549206
팝스멀티방 강변역점,http://cafe.daum.net/popsmb6,"스포츠,오락>멀티방","노래, 게임, 인터넷, TV 등 복합문화공간.",02-3436-6900,서울특별시 광진구 구의동 546-11 지너스타워 지하1층,서울특별시 광진구 강변역로4길 10 강변역지너스타워,320073,548517
건대 VR카페  VRavo,http://www.facebook.com/VRavoCafe,"스포츠,오락>오락시설",,02-6465-2688,서울특별시 광진구 화양동 113-1 코지웰 상가건물 203호 VRavo,서울특별시 광진구 능동로19길 35 광진 코지웰,318184,549849
BAD VR 건대점,,"스포츠,오락>오락시설",,,서울특별시 광진구 화양동 7-4 3층,서울특별시 광진구 아차산로 221,317856,549171
모두막 건대점,http://blog.naver.com/modumak,테마카페,,02-6348-0434,서울특별시 광진구 자양동 10-35 2층,서울특별시 광진구 동일로20길 50,317686,549126
브리즈브이알카페 건대점,,"스포츠,오락>오락시설",,,서울특별시 광진구 자양동 7-6,서울특별시 광진구 아차산로 230 2층,317901,549084
위vr,http://www.instagram.com/wevr4565,"스포츠,오락>오락시설",,02-497-1222,서울특별시 광진구 화양동 3-37,서울특별시 광진구 능동로 131 2층,318157,549353
